Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Woodward Energy Consulting Limited,10/11/2014,3700,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Supplies & Services,Exam Fees,OCN WEST MIDLANDS REGION,14/11/2014,600.00,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Supplies & Services,Exam Fees,OCN WEST MIDLANDS REGION,14/11/2014,147.00,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Supplies & Services,Exam Fees,OCN WEST MIDLANDS REGION,06/11/2014,336,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Supplies & Services,Exam Fees,OCN WEST MIDLANDS REGION,10/11/2014,168,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Supplies & Services,Sub Contractors,TELFORD COLLEGE OF ARTS & TECHNOLOGY,14/11/2014,"15,000.00",,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Supplies & Services,Sub Contractors,TELFORD COLLEGE OF ARTS & TECHNOLOGY,14/11/2014,"15,000.00",,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Supplies & Services,Sub Contractors,TELFORD COLLEGE OF ARTS & TECHNOLOGY,14/11/2014,"15,000.00",,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Supplies & Services,Sub Contractors,TELFORD COLLEGE OF ARTS & TECHNOLOGY,14/11/2014,"15,000.00",,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Supplies & Services,Sub Contractors,TELFORD COLLEGE OF ARTS & TECHNOLOGY,14/11/2014,"15,000.00",,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Third Party Payments,Childminders,CHILDCARE SOS,14/11/2014,215.48,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Third Party Payments,Childminders,CHILDCARE SOS,06/11/2014,281.79,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Third Party Payments,Childminders,CHILDCARE SOS,06/11/2014,654.73,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Third Party Payments,Childminders,CHILDCARE SOS,06/11/2014,491.73,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Third Party Payments,Childminders,HONEYBUNS NURSERIES,21/11/2014,278.6,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAF,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,21/11/2014,238.75,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAG,Employees,Course Fees,Always Consult Ltd,24/11/2014,600,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAG,Employees,Course Fees,Always Consult Ltd,24/11/2014,600,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAG,Supplies & Services,Registration / Licence Fees,UCAS MEDIA LTD,24/11/2014,12500,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAR,Premises-Related Expenditure,Hire Of Rooms,TELFORD INTERNATIONAL CENTRE,04/11/2014,3100,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAR,Premises-Related Expenditure,Hire Of Rooms,TELFORD INTERNATIONAL CENTRE,24/11/2014,2160,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAR,Supplies & Services,Comp Software (Purch / Hire),CogniSoft Limited,14/11/2014,2100,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAR,Supplies & Services,Equipment - Purchase,SPECIALIST COMPUTERS CENTRES PLC,10/11/2014,6670.1,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAR,Supplies & Services,Printing - Other,SILK GROUP LTD,04/11/2014,384.45,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAG,Supplies & Services,Other Grants (Expenses),AUNIQUEART,20/11/2014,200,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAG,Third Party Payments,Private Contractors,LANDAU LTD,20/11/2014,4450,,,,,,,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAG,Third Party Payments,Private Contractors,LANDAU LTD,20/11/2014,3550,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",GBAF,Employees,Course Fees,Centre for Therapeutic Storywriting,03/11/2014,2760,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",GBAF,Employees,Training Expenses,Ramada Telford Ironbridge,27/11/2014,183.33,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",KSAD,Supplies & Services,Exam Fees,The Prince's Trust,26/11/2014,128.5,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",KSAD,Transport-Related Expenditure,Transport Contractors,DIAMOND CARS (TELFORD) LTD,20/11/2014,376,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",KSAD,Transport-Related Expenditure,Transport Contractors,M H ELCOCK & SON LTD T/A ELCOCK REISEN,20/11/2014,150,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",KSAT,Employees,Course Fees,THE NURTURE GROUP NETWORK LTD,20/11/2014,1100,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",KSAT,Supplies & Services,Subscriptions,BEANSTALK,20/11/2014,3970,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAB,Capital Expenditure,Computer Hardware,SPECIALIST COMPUTERS CENTRES PLC,11/11/2014,115.81,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAB,Capital Expenditure,Computer Hardware,SPECIALIST COMPUTERS CENTRES PLC,11/11/2014,930.66,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,AT COMPUTERS LTD,11/11/2014,9120,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,CDEC Limited,28/11/2014,175.41,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,CDEC Limited,28/11/2014,5049,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,CDEC Limited,28/11/2014,169,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,CDEC Limited,28/11/2014,399,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,CDEC Limited,28/11/2014,249,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,CDEC Limited,28/11/2014,420,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,CDEC Limited,28/11/2014,891,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,CDEC Limited,28/11/2014,149,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,CDEC Limited,28/11/2014,3726,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,CDEC Limited,28/11/2014,621,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,CDEC Limited,28/11/2014,891,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,CDEC Limited,28/11/2014,2241,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAN,Capital Expenditure,Computer Hardware,ADAMS GRAMMAR SCHOOL,18/11/2014,1333.3,,,,,,,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAP,Capital Expenditure,Computer Hardware,SISRA LTD,21/11/2014,600,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAD,Capital Expenditure,Payments to Contractor,Protec Fire Detection PLC,12/11/2014,287.26,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,06/11/2014,122.71,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,06/11/2014,167.34,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,12/11/2014,1630.1,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,Legal Fees,WARD HADAWAY SOLICITORS,12/11/2014,414,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,Legal Fees,WARD HADAWAY SOLICITORS,24/11/2014,107,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,Payments to Contractor,Shepherd Construction Ltd,10/11/2014,460201.9,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAG,Capital Expenditure,Legal Fees,WARD HADAWAY SOLICITORS,12/11/2014,138,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAG,Capital Expenditure,Payments to Contractor,BES LTD (GAS),24/11/2014,365,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAG,Capital Expenditure,Payments to Contractor,WINTERHALTER,24/11/2014,216.2,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAH,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,06/11/2014,424.59,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAH,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,12/11/2014,1416.64,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAH,Capital Expenditure,Payments to Contractor,SEVERN TRENT WATER LTD,12/11/2014,995.38,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAH,Capital Expenditure,Payments to Contractor,SEVERN TRENT WATER LTD,12/11/2014,1913.41,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAH,Capital Expenditure,Payments to Contractor,Shepherd Construction Ltd,10/11/2014,860052,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAJ,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,12/11/2014,1295.35,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAJ,Capital Expenditure,Payments to Contractor,Shepherd Construction Ltd,24/11/2014,461594.71,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAK,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,06/11/2014,399.74,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAK,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,12/11/2014,1410.31,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAK,Capital Expenditure,Payments to Contractor,Shepherd Construction Ltd,10/11/2014,160534.33,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAL,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,12/11/2014,1882.73,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAL,Capital Expenditure,Legal Fees,WARD HADAWAY SOLICITORS,12/11/2014,124.2,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAL,Capital Expenditure,Payments to Contractor,Shepherd Construction Ltd,04/11/2014,1504289.71,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAL,Capital Expenditure,Payments to Contractor,Shepherd Construction Ltd,10/11/2014,499111.34,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAM,Capital Expenditure,External Professional Fees,Gage-Tupper & Associates Ltd,12/11/2014,2676.75,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAM,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,06/11/2014,271.74,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAM,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,12/11/2014,2950.36,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAM,Capital Expenditure,Payments to Contractor,Shepherd Construction Ltd,24/11/2014,542298.87,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAN,Capital Expenditure,External Professional Fees,Gage-Tupper & Associates Ltd,12/11/2014,677.25,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAN,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,12/11/2014,1054.25,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAN,Capital Expenditure,Payments to Contractor,HARROW GREEN LIMITED,24/11/2014,293.63,,,,,,,,,
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAN,Capital Expenditure,Payments to Contractor,Shepherd Construction Ltd,24/11/2014,162012.6,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,25/11/2014,182.02,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,25/11/2014,125.14,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Supplies & Services,Printing - Other,SILK GROUP LTD,12/11/2014,122.5,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Third Party Payments,Voluntary Bodies,ABACUS (DAWLEY) LTD 0882556,19/11/2014,3819.38,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Third Party Payments,Voluntary Bodies,ABACUS DAY NURSERY 12508438,19/11/2014,-254.63,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Third Party Payments,Voluntary Bodies,ABACUSDAY NURSERY,19/11/2014,1527.75,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Third Party Payments,Voluntary Bodies,ABC Day Nursery,19/11/2014,5092.5,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Third Party Payments,Voluntary Bodies,ABC Day Nursery,19/11/2014,4481.4,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Third Party Payments,Voluntary Bodies,ABC DAY NURSERY 20588539,19/11/2014,1765.4,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Third Party Payments,Voluntary Bodies,ABC DAY NURSERY HOLLINSWOOD 20588539,19/11/2014,1765.4,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Third Party Payments,Voluntary Bodies,APPLE TREES NURSERY 10053533,25/11/2014,1018.5,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Third Party Payments,Voluntary Bodies,Aqueduct Little Learners,19/11/2014,2546.25,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Third Party Payments,Voluntary Bodies,B) COALBROOKDALE & I'BRIDGE NURS02873465,19/11/2014,339.5,,,,,,,,,
Education & Corporate Parenting,Consultancy & Advisory Services for Schools,GEAA,Third Party Payments,Voluntary Bodies,BEARS DEN PRE-SCHOOL A/C 00372906,25/11/2014,645.05,,,,,,,,,
