Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),02/10/2014,164.55,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),20/10/2014,195.06,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),20/10/2014,175.31,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),30/10/2014,193.27,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),14/10/2014,278.53,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),14/10/2014,711.6,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),29/10/2014,181.7,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS (GU45 1AW),15/10/2014,162.12,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Gas,West Mercia Energy (WME),24/10/2014,138.74,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,BUSY BEE CLEANING,07/10/2014,150,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,FCC Environment Services (UK) Ltd (06184774),16/10/2014,6788.42,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,FCC Environment Services (UK) Ltd (06184774),08/10/2014,6788.41,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,FCC Environment Services (UK) Ltd (06184774),08/10/2014,6788.41,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,FCC Recycling (UK) Ltd (39521486),16/10/2014,-6788.42,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,FCC Recycling (UK) Ltd (39521486),08/10/2014,-6788.41,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,FCC Recycling (UK) Ltd (39521486),08/10/2014,-6788.41,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,GO PLANT SWEEPERS T/A SHROPSHIRE ROADSWEEPERS,02/10/2014,125,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,GO PLANT SWEEPERS T/A SHROPSHIRE ROADSWEEPERS,02/10/2014,259.25,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,Limetree Landscape Services and Nurseries Limited,07/10/2014,350,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,MITIE LANDSCAPES LTD,30/10/2014,172.34,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,MITIE LANDSCAPES LTD,30/10/2014,172.34,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,MITIE LANDSCAPES LTD,30/10/2014,172.34,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,MITIE LANDSCAPES LTD,30/10/2014,172.34,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,MITIE LANDSCAPES LTD,30/10/2014,172.34,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,MITIE LANDSCAPES LTD,30/10/2014,172.34,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,PROKILL UK LIMITED,13/10/2014,120,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Planned Repairs,BRITISH GAS SERVICES (COMMERCIAL) LTD,20/10/2014,195.26,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Planned Repairs,R M F LANDSCAPING LTD,13/10/2014,331,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,R&M -Building Other,Bailey Streetscene Ltd,29/10/2014,1620,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,R&M -Building Other,EVAC+CHAIR INTERNATIONAL LTD,23/10/2014,145,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,29/10/2014,299.8,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,29/10/2014,1152.15,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,20/10/2014,307.22,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,29/10/2014,537.07,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Security Services,FCC Environment Services (UK) Ltd (06184774),16/10/2014,7586.58,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Security Services,FCC Environment Services (UK) Ltd (06184774),08/10/2014,7586.58,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Security Services,FCC Environment Services (UK) Ltd (06184774),08/10/2014,7586.58,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Security Services,FCC Recycling (UK) Ltd (39521486),16/10/2014,-7586.58,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Security Services,FCC Recycling (UK) Ltd (39521486),08/10/2014,-7586.58,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Security Services,FCC Recycling (UK) Ltd (39521486),08/10/2014,-7586.58,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,29/10/2014,250.81,,,
"Development, Business & Employment",Regeneration & Investment,CEAV,Premises-Related Expenditure,Clean Mats & Toilet Requisites,APT SKIDATA LTD,21/10/2014,1769.95,,,
"Development, Business & Employment",Regeneration & Investment,CEAV,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),10/10/2014,2650.92,,,
"Development, Business & Employment",Regeneration & Investment,CEAV,Premises-Related Expenditure,R&M -Building Other,APT SKIDATA LTD,20/10/2014,205,,,
"Development, Business & Employment",Regeneration & Investment,CEAV,Premises-Related Expenditure,R&M -Building Other,MOTIVATION(TRAFFIC CONTROL)LTD,20/10/2014,132,,,
"Development, Business & Employment",Regeneration & Investment,CEAV,Premises-Related Expenditure,R&M -Building Other,Protec Fire Detection PLC,21/10/2014,225,,,
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,28/10/2014,238.7,,,
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,28/10/2014,3124.98,,,
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Stationery,SIGNS EXPRESS (TELFORD),20/10/2014,207,,,
"Development, Business & Employment",Regeneration & Investment,DDBC,Supplies & Services,Consultants Fees,Breeze Strategy,09/10/2014,3750,,,
"Development, Business & Employment",Regeneration & Investment,DDBC,Supplies & Services,Consultants Fees,MOTT MACDONALD LIMITED,20/10/2014,4587.71,,,
"Development, Business & Employment",Regeneration & Investment,DDBC,Supplies & Services,Legal Expenses,WRAGGE LAWRENCE GRAHAM & CO,20/10/2014,8943,,,
"Development, Business & Employment",Regeneration & Investment,DDBC,Supplies & Services,Legal Expenses,WRAGGE LAWRENCE GRAHAM & CO,23/10/2014,8943,,,
"Development, Business & Employment",Regeneration & Investment,DDBC,Supplies & Services,Legal Expenses,WRAGGE LAWRENCE GRAHAM & CO,23/10/2014,30000.1,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Marketing / Advertising,360 SKYLENS LIMITED,28/10/2014,225,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,BRITISH TELECOMMUNICATIONS PLC,17/10/2014,138.14,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,17/10/2014,6260.61,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,31/10/2014,2537.83,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,07/10/2014,27889.16,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Image Technique Limited,17/10/2014,21417.2,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Lovell Johns Limited,31/10/2014,4418,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Morgan Sindall plc,16/10/2014,83725.67,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Morgan Sindall plc,16/10/2014,4075.66,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Morgan Sindall plc,16/10/2014,23986.58,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,31/10/2014,602,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Robey-Wellman Boilers & Furnaces Limited,28/10/2014,800,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,17/10/2014,430,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,TDR Heating & Ventilation Engineers,15/10/2014,70373.18,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,THOMAS CONSULTING,20/10/2014,600,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Urban Surface Protection,17/10/2014,16425,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Woodward Energy Consulting Limited,28/10/2014,5550,,,
"Development, Business & Employment",Regeneration & Investment,WCHC,Capital Expenditure,Payments to Contractor,ABSOLUTE ECOLOGY,15/10/2014,4094.5,,,
"Development, Business & Employment",Regeneration & Investment,WCHC,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,15/10/2014,850,,,
"Development, Business & Employment",Regeneration & Investment,WCHC,Capital Expenditure,Payments to Contractor,SIGNS EXPRESS (TELFORD),07/10/2014,597,,,
"Development, Business & Employment",Regeneration & Investment,WCLE,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,20/10/2014,20000,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Third Party Payments,Childminders,HONEYBUNS NURSERIES,20/10/2014,278.6,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Third Party Payments,Childminders,WOODEN TOPS DAY NURSERY A/C 2862358,20/10/2014,231.14,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAE,Supplies & Services,Printing - Other,XEROX FINANCE,10/10/2014,179,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAF,Premises-Related Expenditure,Hire Of Rooms,MEETING POINT TRUST LTD,20/10/2014,143.25,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAG,Employees,Professional Subs,Adviza Partnership,23/10/2014,190,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAG,Employees,Staff Training,Always Consult Ltd,20/10/2014,4250,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAG,Supplies & Services,Computer Software (Maint),PROSPECTS SERVICES LTD,28/10/2014,2970,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAR,Supplies & Services,Advertising,ORION MEDIA,21/10/2014,300,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAR,Supplies & Services,Advertising,ORION MEDIA,21/10/2014,520.15,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAR,Supplies & Services,Printing - Other,THE MIDLAND NEWS ASSOCIATION LTD,08/10/2014,-284.62,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAR,Supplies & Services,Sub Contractors,Shropshire Enterprise Partnership,06/10/2014,15000,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAW,Third Party Payments,Private Contractors,BRANCHING OUT,09/10/2014,500,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAG,Supplies & Services,Other Grants (Expenses),CENTRAL TAXIS LTD SHREWSBURY,27/10/2014,167,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAG,Supplies & Services,Printing - Other,SILK GROUP LTD,14/10/2014,213.2,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAG,Third Party Payments,Private Contractors,BRANCHING OUT,31/10/2014,4500,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAG,Third Party Payments,Private Contractors,THE EDUCATION DEVELOPMENT SERVICE LTD,27/10/2014,2500,,,
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",KSAB,Supplies & Services,Printing - Other,LION FPG LIMITED,30/10/2014,1545,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,CELSIAN EDUCATION,16/10/2014,950,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,CELSIAN EDUCATION,02/10/2014,950,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,CELSIAN EDUCATION,30/10/2014,950,,,
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,CELSIAN EDUCATION,24/10/2014,950,,,
