Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount (£) 
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,133.64
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/06/2018,107.44
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/06/2018,204
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/06/2018,370.39
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/06/2018,176.4
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,109.04
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,110.16
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,306.74
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,-170
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,468.21
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,117.87
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,128.54
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,123.87
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,190.16
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,380.96
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,176.4
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,119.55
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,352
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,118.95
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,184.33
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,103.03
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,217.6
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,144
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,126.72
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,172.46
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,118.01
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,135.75
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,102
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,109.58
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Adelie Foods Limited (FORMERLY BRAMBLES FOODS LTD),21/06/2018,128.14
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Adelie Foods Limited (FORMERLY BRAMBLES FOODS LTD),07/06/2018,405.13
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Adelie Foods Limited (FORMERLY BRAMBLES FOODS LTD),01/06/2018,416.81
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Adelie Foods Limited (FORMERLY BRAMBLES FOODS LTD),13/06/2018,325.14
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Adelie Foods Limited (FORMERLY BRAMBLES FOODS LTD),20/06/2018,382.25
Commercial Services,Sport & Leisure,Supplies & Services,Crockery/Hardware/Light Equip,Charnwood Instrumentation Services Ltd,13/06/2018,752.7
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,Backstage Technologies (Europe) Ltd,07/06/2018,155.95
Commercial Services,Sport & Leisure,Supplies & Services,Carriage/Delivery Charge,Techmat 2000 Limited,11/06/2018,220
Commercial Services,Sport & Leisure,Supplies & Services,Ski Slope Equipment,Techmat 2000 Limited,11/06/2018,"7,070.00"
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,01/06/2018,208.32
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,21/06/2018,452.06
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,07/06/2018,208.32
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,07/06/2018,223.19
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,07/06/2018,132.46
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,07/06/2018,208.32
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,01/06/2018,145.55
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,01/06/2018,208.32
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,21/06/2018,132.46
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,07/06/2018,223.19
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,07/06/2018,290.69
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,07/06/2018,132.46
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Vehicle Parts,MotivTrailers,07/06/2018,496.43
Commercial Services,Sport & Leisure,Supplies & Services,Sub Contractors,Waterplay Solutions Limited,27/06/2018,198
Commercial Services,Sport & Leisure,Supplies & Services,Sub Contractors,Waterplay Solutions Limited,14/06/2018,518.63
Commercial Services,Sport & Leisure,Supplies & Services,Sub Contractors,Waterplay Solutions Limited,19/06/2018,175
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Travelling Expenses General,Reacted Personal Information,28/06/2018,394
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Handmade Speciality Products Ltd,13/06/2018,234.53
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Handmade Speciality Products Ltd,13/06/2018,143.26
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Handmade Speciality Products Ltd,07/06/2018,148.83
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Handmade Speciality Products Ltd,01/06/2018,117.15
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Handmade Speciality Products Ltd,01/06/2018,100.11
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,Wizard Wheelchairs Ltd,13/06/2018,300
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Hire,NRC Limited,27/06/2018,144
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,Gymfinity Gymnastics Ltd,11/06/2018,160
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,Salop Cash Registers,18/06/2018,412.95
Commercial Services,Sport & Leisure,Employees,Agency Supply Costs,Stedychefs Limited,28/06/2018,998
Commercial Services,Sport & Leisure,Employees,Agency Supply Costs,Stedychefs Limited,28/06/2018,462
Commercial Services,Sport & Leisure,Employees,Agency Supply Costs,Stedychefs Limited,18/06/2018,582
Commercial Services,Sport & Leisure,Supplies & Services,Other Services,Leisure-net Solutions Ltd,27/06/2018,"1,012.50"
Commercial Services,Sport & Leisure,Supplies & Services,Sport Equip - Purchase,HHE Sourcing Ltd TA Adventure Climb Rescue,04/06/2018,"1,500.12"
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,The Pool Water Treatment Advisory Group,25/06/2018,350
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Hire,Fairway Wheels,28/06/2018,450
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Hire,Fairway Wheels,01/06/2018,270
Commercial Services,Sport & Leisure,Premises-Related Expenditure,Preventative Maintenance,Gym Repair Services,07/06/2018,195
Commercial Services,Sport & Leisure,Premises-Related Expenditure,Preventative Maintenance,Gym Repair Services,07/06/2018,130
Commercial Services,Sport & Leisure,Premises-Related Expenditure,Preventative Maintenance,Gym Repair Services,07/06/2018,260
Commercial Services,Sport & Leisure,Premises-Related Expenditure,Preventative Maintenance,Gym Repair Services,07/06/2018,260
Commercial Services,Sport & Leisure,Premises-Related Expenditure,Preventative Maintenance,Gym Repair Services,07/06/2018,260
Commercial Services,Sport & Leisure,Premises-Related Expenditure,Preventative Maintenance,Gym Repair Services,07/06/2018,390
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,CountyNet Limited,01/06/2018,250
Commercial Services,Sport & Leisure,Supplies & Services,Sport Equip - Purchase,Skunk Works Surf Company Limited,11/06/2018,"1,268.75"
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,WH Leisure LTD,12/06/2018,"2,550.00"
Commercial Services,Sport & Leisure,Supplies & Services,Payment Of Income Collected,REDACTED PERSONAL INFORMATION,07/06/2018,213.2
Co-Operative Council,Community Participation,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,27/06/2018,"1,560.00"
Co-Operative Council,Community Participation,Supplies & Services,Grants To Voluntary Organis,WELLINGTON TOWN COUNCIL,12/06/2018,200
Co-Operative Council,Community Participation,Supplies & Services,Grants To Voluntary Organis,WELLINGTON TOWN COUNCIL ,12/06/2018,200
Co-Operative Council,Community Participation,Supplies & Services,Grants To Voluntary Organis,PARK LANE CENTRE,21/06/2018,"10,600.00"
Co-Operative Council,Community Participation,Supplies & Services,Grants To Voluntary Organis,TELFORD & WREKIN CITIZENS ADVICE BUREAU,05/06/2018,"232,000.00"
Co-Operative Council,Community Participation,Supplies & Services,Graphic Design Charges,ALLWAG PROMOTIONS LTD,12/06/2018,138.5
Co-Operative Council,Community Participation,Supplies & Services,Grants To Voluntary Organis,LILLESHALL CRICKET CLUB,12/06/2018,300
Co-Operative Council,Community Participation,Supplies & Services,Grants To Voluntary Organis,Telford Crisis Support,22/06/2018,"34,000.00"
Co-Operative Council,Corporate Core,Employees,Professional Subs,ADCS,29/06/2018,"1,567.50"
Co-Operative Council,Organisational Development & Delivery,Employees,Professional Subs,REED BUSINESS INFORMATION LTD,28/06/2018,725
Co-Operative Council,Organisational Development & Delivery,Employees,Staff Training,SHROPSHIRE COUNCIL ,28/06/2018,624
Co-Operative Council,Organisational Development & Delivery,Employees,Staff Training,SHROPSHIRE COUNCIL ,28/06/2018,490
Co-Operative Council,Organisational Development & Delivery,Employees,Staff Training,UNIVERSITY OF WOLVERHAMPTON ,18/06/2018,581.18
Co-Operative Council,Organisational Development & Delivery,Employees,Staff Training,UNIVERSITY OF WOLVERHAMPTON ,20/06/2018,"1,500.00"
Co-Operative Council,Organisational Development & Delivery,Supplies & Services,Furniture - Purchase,CHRISBEON OFFICE SUPPLIES,11/06/2018,349.5
Co-Operative Council,Organisational Development & Delivery,Supplies & Services,Comp Software (Purch / Hire),CACI LTD,22/06/2018,850
Co-Operative Council,Organisational Development & Delivery,Employees,Professional Subs,CHARTERED INST OF PERSONNEL DEVELOPMENT,20/06/2018,185
Co-Operative Council,Organisational Development & Delivery,Employees,Staff Training,SHROPSHIRE PARTNERS IN CARE LTD,26/06/2018,"40,293.00"
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Comp Software (Purch / Hire),NORTHGATE PUBLIC SERVICES (UK) LTD,26/06/2018,400.22
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Comp Software (Purch / Hire),NORTHGATE PUBLIC SERVICES (UK) LTD,26/06/2018,908.42
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Comp Software (Purch / Hire),NORTHGATE PUBLIC SERVICES (UK) LTD,26/06/2018,498.91
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Comp Software (Purch / Hire),NORTHGATE PUBLIC SERVICES (UK) LTD,26/06/2018,182.22
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Comp Software (Purch / Hire),NORTHGATE PUBLIC SERVICES (UK) LTD,26/06/2018,363.26
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,IT Services,NORTHGATE PUBLIC SERVICES (UK) LTD,04/06/2018,"4,000.00"
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Blue Badge Production,NORTHGATE PUBLIC SERVICES (UK) LTD,15/06/2018,"1,807.92"
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Comp Software (Purch / Hire),NORTHGATE PUBLIC SERVICES (UK) LTD,18/06/2018,150.61
Customer & Neighbourhood Services,Benefits & Customer Services,Employees,Agency Supply Costs,CIVICA SERVICES LTD ,21/06/2018,"1,666.67"
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,25/06/2018,311
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,12/06/2018,227
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,04/06/2018,170
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,19/06/2018,247
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Fees,PayPoint Network Ltd ,19/06/2018,"4,100.00"
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,21/06/2018,340
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,21/06/2018,160
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,21/06/2018,145
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,21/06/2018,215
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,21/06/2018,145
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,21/06/2018,145
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,06/06/2018,155
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,06/06/2018,170
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,06/06/2018,215
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,21/06/2018,120
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,21/06/2018,125
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,06/06/2018,430
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,06/06/2018,395
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,06/06/2018,145
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,06/06/2018,135
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,A W HOLDINGS,21/06/2018,447
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,A W HOLDINGS,01/06/2018,548
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Subscriptions,ASSOCIATION OF FINANCIAL ASSESMENT OFFICERS,21/06/2018,200
Customer & Neighbourhood Services,Benefits & Customer Services,Third Party Payments,Private Contractors,Unicard Ltd,04/06/2018,518.62
Customer & Neighbourhood Services,Benefits & Customer Services,Third Party Payments,Private Contractors,Unicard Ltd,04/06/2018,490
Customer & Neighbourhood Services,Benefits & Customer Services,Third Party Payments,Blue Badge Assessments,ACCESS INDEPENDENT,11/06/2018,841
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Other Services,Kings of the Road,21/06/2018,200
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Other Services,Kings of the Road,11/06/2018,180
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Other Services,Kings of the Road,01/06/2018,325
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Other Services,Kings of the Road,15/06/2018,275
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Other Services,Kings of the Road,04/06/2018,295
